Attribute Type,Type Description,Archtechture flag,visible,Important,required,Allow Multiple,code,Code label,Code Description
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
14.1.5 Collect and Process Video Sensor Data,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
14.1.5 Collect and Process Video Sensor Data,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
14.1.5 Collect and Process Video Sensor Data,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
14.1.5 Collect and Process Video Sensor Data,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
8.1.59 Provide Discovery Services,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
